Scenario,Description
MTP25_2020, - 2020 MTP24 TIP5
MTP25_2030, - 2030 MTP24 TIP5
MTP25_2033, - 2033 MTP24 TIP5
MTP25_2040, - 2040 MTP24 TIP5
MTP25_2050, - 2050 MTP24 TIP5
MTP25_2050NB, - 2050 MTP24 TIP5 - No Build
