"ORIG_FIPS","DEST_FIPS","origin_county","destination_county","ALLALL","WRKALL","NWKALL","ALLSOV","ALLHOV","ALLTRN","ALLWALK","ALLBIKE","Origin_Long","Origin_Lat","Dest_Long","Dest_Lat"
13045,13097,"CARROLL","DOUGLAS",28345,8420,19925,12396,15802,9,92,46,-85.079807,33.582781,-84.767979,33.701813
13045,13113,"CARROLL","FAYETTE",1322,678,644,873,449,0,0,0,-85.079807,33.582781,-84.494169,33.4139
13045,13117,"CARROLL","FORSYTH",10,5,5,8,2,0,0,0,-85.079807,33.582781,-84.125061,34.225486
13045,13121,"CARROLL","FULTON",7918,4324,3594,4643,3213,62,0,0,-85.079807,33.582781,-84.467627,33.789892
13045,13135,"CARROLL","GWINNETT",120,88,32,86,34,0,0,0,-85.079807,33.582781,-84.023657,33.961676
13045,13151,"CARROLL","HENRY",137,41,96,71,66,0,0,0,-85.079807,33.582781,-84.154174,33.452972
13045,13217,"CARROLL","NEWTON",2,1,1,1,1,0,0,0,-85.079807,33.582781,-83.850189,33.555014
13045,13223,"CARROLL","PAULDING",16048,5166,10882,7571,8471,0,0,6,-85.079807,33.582781,-84.867312,33.920496
13045,13247,"CARROLL","ROCKDALE",23,8,15,10,13,0,0,0,-85.079807,33.582781,-84.026652,33.65421
13045,13255,"CARROLL","SPALDING",51,30,21,34,17,0,0,0,-85.079807,33.582781,-84.284165,33.260886
13057,13013,"CHEROKEE","BARROW",136,47,89,58,78,0,0,0,-84.476236,34.243896,-83.712737,33.993199
13057,13015,"CHEROKEE","BARTOW",20052,7568,12484,9848,10178,0,12,14,-84.476236,34.243896,-84.840525,34.237806
13057,13045,"CHEROKEE","CARROLL",137,60,77,74,63,0,0,0,-84.476236,34.243896,-85.079807,33.582781
13057,13057,"CHEROKEE","CHEROKEE",1017922,173326,844596,365548,617723,104,30272,4275,-84.476236,34.243896,-84.476236,34.243896
13057,13063,"CHEROKEE","CLAYTON",775,458,317,390,371,14,0,0,-84.476236,34.243896,-84.357684,33.541836
13057,13067,"CHEROKEE","COBB",177093,51594,125499,76286,100137,208,228,234,-84.476236,34.243896,-84.576684,33.941426
13057,13077,"CHEROKEE","COWETA",50,14,36,22,28,0,0,0,-84.476236,34.243896,-84.763334,33.353446
13057,13085,"CHEROKEE","DAWSON",2160,839,1321,1194,966,0,0,0,-84.476236,34.243896,-84.17054,34.44427
13057,13089,"CHEROKEE","DEKALB",7778,4421,3357,4732,3010,36,0,0,-84.476236,34.243896,-84.226356,33.77148
13057,13097,"CHEROKEE","DOUGLAS",908,509,399,538,370,0,0,0,-84.476236,34.243896,-84.767979,33.701813
13057,13113,"CHEROKEE","FAYETTE",84,52,32,51,33,0,0,0,-84.476236,34.243896,-84.494169,33.4139
13057,13117,"CHEROKEE","FORSYTH",39584,11026,28558,17343,22210,0,7,24,-84.476236,34.243896,-84.125061,34.225486
13057,13121,"CHEROKEE","FULTON",83664,32249,51415,39683,43617,297,24,43,-84.476236,34.243896,-84.467627,33.789892
13057,13135,"CHEROKEE","GWINNETT",9365,5089,4276,5584,3777,4,0,0,-84.476236,34.243896,-84.023657,33.961676
13057,13139,"CHEROKEE","HALL",1141,586,555,678,463,0,0,0,-84.476236,34.243896,-83.819766,34.316798
13057,13151,"CHEROKEE","HENRY",157,57,100,65,92,0,0,0,-84.476236,34.243896,-84.154174,33.452972
13057,13217,"CHEROKEE","NEWTON",17,6,11,9,8,0,0,0,-84.476236,34.243896,-83.850189,33.555014
13057,13223,"CHEROKEE","PAULDING",5770,2025,3745,2634,3136,0,0,0,-84.476236,34.243896,-84.867312,33.920496
13057,13247,"CHEROKEE","ROCKDALE",81,35,46,41,40,0,0,0,-84.476236,34.243896,-84.026652,33.65421
13057,13255,"CHEROKEE","SPALDING",12,3,9,5,7,0,0,0,-84.476236,34.243896,-84.284165,33.260886
13057,13297,"CHEROKEE","WALTON",53,21,32,29,24,0,0,0,-84.476236,34.243896,-83.733833,33.781544
13063,13013,"CLAYTON","BARROW",127,74,53,77,50,0,0,0,-84.357684,33.541836,-83.712737,33.993199
13063,13015,"CLAYTON","BARTOW",109,43,66,49,60,0,0,0,-84.357684,33.541836,-84.840525,34.237806
13063,13045,"CLAYTON","CARROLL",751,443,308,480,268,3,0,0,-84.357684,33.541836,-85.079807,33.582781
13063,13057,"CLAYTON","CHEROKEE",681,415,266,364,304,13,0,0,-84.357684,33.541836,-84.476236,34.243896
13063,13063,"CLAYTON","CLAYTON",830268,185778,644490,307559,469542,2386,45799,4982,-84.357684,33.541836,-84.357684,33.541836
13063,13067,"CLAYTON","COBB",10406,7223,3183,6289,3775,342,0,0,-84.357684,33.541836,-84.576684,33.941426
13063,13077,"CLAYTON","COWETA",7623,4471,3152,4678,2904,41,0,0,-84.357684,33.541836,-84.763334,33.353446
13063,13085,"CLAYTON","DAWSON",9,2,7,3,6,0,0,0,-84.357684,33.541836,-84.17054,34.44427
13063,13089,"CLAYTON","DEKALB",56306,28100,28206,27863,25914,2432,51,46,-84.357684,33.541836,-84.226356,33.77148
13063,13097,"CLAYTON","DOUGLAS",3546,2306,1240,2171,1310,65,0,0,-84.357684,33.541836,-84.767979,33.701813
13063,13113,"CLAYTON","FAYETTE",56867,15327,41540,23142,33542,43,49,91,-84.357684,33.541836,-84.494169,33.4139
13063,13117,"CLAYTON","FORSYTH",435,209,226,207,215,13,0,0,-84.357684,33.541836,-84.125061,34.225486
13063,13121,"CLAYTON","FULTON",184807,92150,92657,90952,82582,10463,497,313,-84.357684,33.541836,-84.467627,33.789892
13063,13135,"CLAYTON","GWINNETT",5494,3759,1735,3309,1974,211,0,0,-84.357684,33.541836,-84.023657,33.961676
