"ORIG_FIPS","DEST_FIPS","origin_county","destination_county","ALLALL","WRKALL","NWKALL","ALLSOV","ALLHOV","ALLTRN","ALLWALK","ALLBIKE","Origin_Long","Origin_Lat","Dest_Long","Dest_Lat"
13013,13013,"BARROW","BARROW",233802,41747,192055,81825,140481,0,10345,1151,-83.712737,33.993199,-83.712737,33.993199
13013,13015,"BARROW","BARTOW",2,2,0,1,1,0,0,0,-83.712737,33.993199,-84.840525,34.237806
13013,13057,"BARROW","CHEROKEE",122,68,54,68,54,0,0,0,-83.712737,33.993199,-84.476236,34.243896
13013,13063,"BARROW","CLAYTON",100,52,48,55,45,0,0,0,-83.712737,33.993199,-84.357684,33.541836
13013,13067,"BARROW","COBB",627,430,197,444,181,2,0,0,-83.712737,33.993199,-84.576684,33.941426
13013,13077,"BARROW","COWETA",2,1,1,2,0,0,0,0,-83.712737,33.993199,-84.763334,33.353446
13013,13085,"BARROW","DAWSON",56,27,29,27,29,0,0,0,-83.712737,33.993199,-84.17054,34.44427
13013,13089,"BARROW","DEKALB",3835,2350,1485,2468,1355,12,0,0,-83.712737,33.993199,-84.226356,33.77148
13013,13097,"BARROW","DOUGLAS",12,5,7,5,7,0,0,0,-83.712737,33.993199,-84.767979,33.701813
13013,13113,"BARROW","FAYETTE",3,1,2,3,0,0,0,0,-83.712737,33.993199,-84.494169,33.4139
13013,13117,"BARROW","FORSYTH",1451,903,548,891,560,0,0,0,-83.712737,33.993199,-84.125061,34.225486
13013,13121,"BARROW","FULTON",4157,2657,1500,2601,1495,61,0,0,-83.712737,33.993199,-84.467627,33.789892
13013,13135,"BARROW","GWINNETT",51978,18354,33624,23275,28614,8,26,55,-83.712737,33.993199,-84.023657,33.961676
13013,13139,"BARROW","HALL",9190,3432,5758,4311,4870,2,0,7,-83.712737,33.993199,-83.819766,34.316798
13013,13151,"BARROW","HENRY",142,69,73,76,66,0,0,0,-83.712737,33.993199,-84.154174,33.452972
13013,13217,"BARROW","NEWTON",799,471,328,474,325,0,0,0,-83.712737,33.993199,-83.850189,33.555014
13013,13223,"BARROW","PAULDING",10,3,7,5,5,0,0,0,-83.712737,33.993199,-84.867312,33.920496
13013,13247,"BARROW","ROCKDALE",769,493,276,467,302,0,0,0,-83.712737,33.993199,-84.026652,33.65421
13013,13255,"BARROW","SPALDING",1,0,1,0,1,0,0,0,-83.712737,33.993199,-84.284165,33.260886
13013,13297,"BARROW","WALTON",12184,3895,8289,5146,7026,0,0,12,-83.712737,33.993199,-83.733833,33.781544
13015,13013,"BARTOW","BARROW",5,1,4,0,5,0,0,0,-84.840525,34.237806,-83.712737,33.993199
13015,13015,"BARTOW","BARTOW",349065,90930,258135,141085,192992,0,13281,1707,-84.840525,34.237806,-84.840525,34.237806
13015,13045,"BARTOW","CARROLL",380,223,157,239,141,0,0,0,-84.840525,34.237806,-85.079807,33.582781
13015,13057,"BARTOW","CHEROKEE",16171,6360,9811,7948,8207,0,9,7,-84.840525,34.237806,-84.476236,34.243896
13015,13063,"BARTOW","CLAYTON",80,48,32,53,26,1,0,0,-84.840525,34.237806,-84.357684,33.541836
13015,13067,"BARTOW","COBB",32941,14127,18814,17081,15743,14,36,67,-84.840525,34.237806,-84.576684,33.941426
