ORIG_FIPS,DEST_FIPS,origin_county,destination_county,ALLALL,WRKALL,NWKALL,ALLSOV,ALLHOV,ALLTRN,ALLWALK,ALLBIKE,Origin_Long,Origin_Lat,Dest_Long,Dest_Lat
13121,13121,FULTON,FULTON,3568367,1102166,2466201,1439243,1766320,111662,219226,31916,-84.467627,33.789892,-84.467627,33.789892
13135,13135,GWINNETT,GWINNETT,3311362,618914,2692448,1080624,2110512,2273,102717,15236,-84.023657,33.961676,-84.023657,33.961676
13067,13067,COBB,COBB,2738237,586036,2152201,976299,1645288,10073,91672,14905,-84.576684,33.941426,-84.576684,33.941426
13089,13089,DEKALB,DEKALB,2255924,457062,1798862,781985,1342569,18308,98984,14078,-84.226356,33.77148,-84.226356,33.77148
13063,13063,CLAYTON,CLAYTON,807435,148456,658979,256368,506233,1917,38542,4375,-84.357684,33.541836,-84.357684,33.541836
13139,13139,HALL,HALL,661061,150530,510531,234283,403105,779,20070,2824,-83.819766,34.316798,-83.819766,34.316798
13117,13117,FORSYTH,FORSYTH,647116,118302,528814,214465,412705,7,17651,2288,-84.125061,34.225486,-84.125061,34.225486
13057,13057,CHEROKEE,CHEROKEE,628707,105925,522782,215630,391675,122,18699,2581,-84.476236,34.243896,-84.476236,34.243896
13151,13151,HENRY,HENRY,617465,99086,518379,197269,398171,4,19420,2601,-84.154174,33.452972,-84.154174,33.452972
13121,13089,FULTON,DEKALB,515964,195178,320786,234760,254897,21053,2674,2580,-84.467627,33.789892,-84.226356,33.77148
13089,13121,DEKALB,FULTON,513609,193948,319661,233666,253680,21043,2640,2580,-84.226356,33.77148,-84.467627,33.789892
13097,13097,DOUGLAS,DOUGLAS,406525,58524,348001,119524,271557,257,13343,1844,-84.767979,33.701813,-84.767979,33.701813
13077,13077,COWETA,COWETA,400250,75203,325047,142275,244474,0,11750,1751,-84.763334,33.353446,-84.763334,33.353446
13045,13045,CARROLL,CARROLL,363921,79429,284492,132676,212083,4077,12529,2556,-85.079807,33.582781,-85.079807,33.582781
13223,13223,PAULDING,PAULDING,357539,49819,307720,103491,241417,0,11246,1385,-84.867312,33.920496,-84.867312,33.920496
13113,13113,FAYETTE,FAYETTE,353650,64370,289280,121968,220163,0,10200,1319,-84.494169,33.4139,-84.494169,33.4139
13121,13067,FULTON,COBB,345666,130318,215348,157174,183691,4258,192,351,-84.467627,33.789892,-84.576684,33.941426
13067,13121,COBB,FULTON,342294,128575,213719,155564,181910,4274,198,348,-84.576684,33.941426,-84.467627,33.789892
13015,13015,BARTOW,BARTOW,295377,67706,227671,110929,173525,0,9466,1457,-84.840525,34.237806,-84.840525,34.237806
13089,13135,DEKALB,GWINNETT,264601,79870,184731,109029,153948,795,421,408,-84.226356,33.77148,-84.023657,33.961676
13135,13089,GWINNETT,DEKALB,260499,77718,182781,106790,152114,773,418,404,-84.023657,33.961676,-84.226356,33.77148
13217,13217,NEWTON,NEWTON,251173,42405,208768,83877,156598,0,9422,1276,-83.850189,33.555014,-83.850189,33.555014
13247,13247,ROCKDALE,ROCKDALE,243963,42108,201855,79618,153793,0,9434,1118,-84.026652,33.65421,-84.026652,33.65421
13135,13121,GWINNETT,FULTON,207829,80680,127149,94115,110646,2822,84,162,-84.023657,33.961676,-84.467627,33.789892
13297,13297,WALTON,WALTON,206031,34316,171715,69257,127351,0,8375,1048,-83.733833,33.781544,-83.733833,33.781544
13121,13135,FULTON,GWINNETT,204333,79291,125042,92734,108492,2859,90,158,-84.467627,33.789892,-84.023657,33.961676
13013,13013,BARROW,BARROW,201846,28113,173733,62777,128935,0,9147,987,-83.712737,33.993199,-83.712737,33.993199
13255,13255,SPALDING,SPALDING,201295,39933,161362,71388,120542,0,8302,1063,-84.284165,33.260886,-84.284165,33.260886
13121,13063,FULTON,CLAYTON,149746,64931,84815,66432,76200,6648,247,219,-84.467627,33.789892,-84.357684,33.541836
13063,13121,CLAYTON,FULTON,148371,64264,84107,65794,75459,6621,275,222,-84.357684,33.541836,-84.467627,33.789892
13067,13057,COBB,CHEROKEE,135353,39536,95817,56859,77973,173,144,204,-84.576684,33.941426,-84.476236,34.243896
13057,13067,CHEROKEE,COBB,133833,38527,95306,55935,77379,163,142,214,-84.476236,34.243896,-84.576684,33.941426
13121,13117,FULTON,FORSYTH,130858,42735,88123,53407,76640,404,255,152,-84.467627,33.789892,-84.125061,34.225486
13117,13121,FORSYTH,FULTON,130115,42383,87732,52961,76347,390,251,166,-84.125061,34.225486,-84.467627,33.789892
13067,13223,COBB,PAULDING,109692,29917,79775,39826,69659,9,98,100,-84.576684,33.941426,-84.867312,33.920496
13223,13067,PAULDING,COBB,108191,28922,79269,38974,69032,7,83,95,-84.867312,33.920496,-84.576684,33.941426
13063,13151,CLAYTON,HENRY,87864,22374,65490,32712,54719,111,196,126,-84.357684,33.541836,-84.154174,33.452972
13151,13063,HENRY,CLAYTON,87066,21397,65669,31969,54666,112,189,130,-84.154174,33.452972,-84.357684,33.541836
13117,13135,FORSYTH,GWINNETT,70210,21269,48941,27695,42479,0,0,36,-84.125061,34.225486,-84.023657,33.961676
13135,13117,GWINNETT,FORSYTH,70128,21186,48942,27835,42254,2,0,37,-84.023657,33.961676,-84.125061,34.225486
13067,13097,COBB,DOUGLAS,65344,16948,48396,23769,41080,67,312,116,-84.576684,33.941426,-84.767979,33.701813
13135,13139,GWINNETT,HALL,65109,19728,45381,27224,37766,0,60,59,-84.023657,33.961676,-83.819766,34.316798
13139,13135,HALL,GWINNETT,64724,19525,45199,27103,37504,1,58,58,-83.819766,34.316798,-84.023657,33.961676
